symbol,company,isin,exchange,bse_scrip_code,floor_price,cut_price_min,tick,lot,issue_qty,retail_qty,discount_pct,hni_open,hni_close,ret_open,ret_close
ACL,Andhra Cements Ltd,INE666E01020,BOTH,532141,72,72,0.05,1,7500000,750000,0,2026-01-09T09:15+05:30,2026-01-09T15:30+05:30,2026-01-12T09:15+05:30,2026-01-12T15:30+05:30
EASTINDIA,East India Drums & Barrels Mfg Ltd,ISIN-UNKNOWN,BSE,,125,125,0.05,1,738711,73871,0,2026-01-14T09:15+05:30,2026-01-14T15:30+05:30,2026-01-16T09:15+05:30,2026-01-16T15:30+05:30
HINDZINC,Hindustan Zinc Ltd,ISIN-UNKNOWN,BOTH,,685,685,0.05,1,47577066,4757707,0,2026-01-28T09:15+05:30,2026-01-28T15:30+05:30,2026-01-29T09:15+05:30,2026-01-29T15:30+05:30
AANCHALISP,Aanchal Ispat Ltd,ISIN-UNKNOWN,BSE,,50,50,0.05,1,565725,56573,0,2026-02-03T09:15+05:30,2026-02-03T15:30+05:30,2026-02-04T09:15+05:30,2026-02-04T15:30+05:30
INDIGRID,IndiGrid Infrastructure Trust,ISIN-UNKNOWN,BOTH,540565,160.50,160.50,0.05,1,70090556,7009056,0,2026-02-05T09:15+05:30,2026-02-05T15:30+05:30,2026-02-06T09:15+05:30,2026-02-06T15:30+05:30
BHEL,Bharat Heavy Electricals Ltd,ISIN-UNKNOWN,BOTH,,254,254,0.05,1,174103168,17410318,0,2026-02-11T09:15+05:30,2026-02-11T15:30+05:30,2026-02-12T09:15+05:30,2026-02-12T15:30+05:30
IRFC,Indian Railway Finance Corporation Ltd,INE053F01010,BOTH,543257,104,104,0.05,1,522740240,52274024,0,2026-02-25T09:15+05:30,2026-02-25T15:30+05:30,2026-02-26T09:15+05:30,2026-02-26T15:30+05:30
ACL,Andhra Cements Ltd,INE666E01020,BOTH,532141,52,52,0.05,1,6676843,667685,0,2026-03-17T09:15+05:30,2026-03-17T15:30+05:30,2026-03-18T09:15+05:30,2026-03-18T15:30+05:30
CLCIND,CLC Industries Ltd,ISIN-UNKNOWN,BSE,,17,17,0.05,1,519720,51972,0,2026-03-17T09:15+05:30,2026-03-17T15:30+05:30,2026-03-18T09:15+05:30,2026-03-18T15:30+05:30
EASTINDIA,East India Drums & Barrels Mfg Ltd,ISIN-UNKNOWN,BSE,,125,125,0.05,1,2909044,290904,0,2026-03-17T09:15+05:30,2026-03-17T15:30+05:30,2026-03-18T09:15+05:30,2026-03-18T15:30+05:30
SWANDEF,Swan Defence & Heavy Industries Ltd,INE542F01020,BOTH,,1900,1900,0.05,1,2638747,263875,0,2026-03-18T09:15+05:30,2026-03-18T15:30+05:30,2026-03-19T09:15+05:30,2026-03-19T15:30+05:30
EASTSILK,Eastern Silk Industries Ltd,INE962C01035,BOTH,590022,63,63,0.05,1,250000,25000,0,2026-03-18T09:15+05:30,2026-03-18T15:30+05:30,2026-03-19T09:15+05:30,2026-03-19T15:30+05:30
HMAAGRO,HMA Agro Industries Ltd,ISIN-UNKNOWN,BSE,,18,18,0.05,1,33181173,3318118,0,2026-04-09T09:15+05:30,2026-04-09T15:30+05:30,2026-04-10T09:15+05:30,2026-04-10T15:30+05:30
META,String Metaverse Ltd,ISIN-UNKNOWN,BSE,,66,66,0.05,1,3810000,381000,0,2026-04-21T09:15+05:30,2026-04-21T15:30+05:30,2026-04-22T09:15+05:30,2026-04-22T15:30+05:30
CENTRALBK,Central Bank of India,ISIN-UNKNOWN,BOTH,,31,31,0.05,1,724112102,72411212,0,2026-05-22T09:15+05:30,2026-05-22T15:30+05:30,2026-05-25T09:15+05:30,2026-05-25T15:30+05:30
COALINDIA,Coal India Ltd,ISIN-UNKNOWN,BOTH,,412,412,0.05,1,123254566,12325458,0,2026-05-27T09:15+05:30,2026-05-27T15:30+05:30,2026-05-29T09:15+05:30,2026-05-29T15:30+05:30
NHPC,NHPC Ltd,ISIN-UNKNOWN,BOTH,,71,71,0.05,1,602702088,60270210,0,2026-06-02T09:15+05:30,2026-06-02T15:30+05:30,2026-06-03T09:15+05:30,2026-06-03T15:30+05:30
NLCINDIA,NLC India Ltd,ISIN-UNKNOWN,BOTH,,303,303,0.05,1,41599098,4159911,0,2026-06-09T09:15+05:30,2026-06-09T15:30+05:30,2026-06-10T09:15+05:30,2026-06-10T15:30+05:30
GICRE,General Insurance Corporation of India,ISIN-UNKNOWN,BOTH,,352,352,0.05,1,87720000,8772000,0,2026-06-16T09:15+05:30,2026-06-16T15:30+05:30,2026-06-17T09:15+05:30,2026-06-17T15:30+05:30
BOSCH-HCIL,Bosch Home Comfort India Ltd,ISIN-UNKNOWN,BOTH,,1150,1150,0.05,1,2166628,216664,0,2026-06-18T09:15+05:30,2026-06-18T15:30+05:30,2026-06-19T09:15+05:30,2026-06-19T15:30+05:30
RIDDHI,Riddhi Siddhi Gluco Biols Ltd,ISIN-UNKNOWN,BSE,,730,730,0.05,1,823422,82343,0,2026-06-22T09:15+05:30,2026-06-22T15:30+05:30,2026-06-23T09:15+05:30,2026-06-23T15:30+05:30
IRFC,Indian Railway Finance Corporation Ltd,INE053F01010,BOTH,543257,91,91,0.05,1,243087100,24308711,0,2026-06-24T09:15+05:30,2026-06-24T15:30+05:30,2026-06-25T09:15+05:30,2026-06-25T15:30+05:30
COCHINSHIP,Cochin Shipyard Ltd,ISIN-UNKNOWN,BOTH,,1400,1400,0.05,1,13259272,1325928,0,2026-07-07T09:15+05:30,2026-07-07T15:30+05:30,2026-07-08T09:15+05:30,2026-07-08T15:30+05:30
LICI,Life Insurance Corporation of India,ISIN-UNKNOWN,BOTH,,382,382,0.05,1,822249701,82224971,0,2026-08-04T09:15+05:30,2026-08-04T15:30+05:30,2026-08-05T09:15+05:30,2026-08-05T15:30+05:30
HINDCOPPER,Hindustan Copper Ltd,ISIN-UNKNOWN,BOTH,,514,514,0.05,1,58021442,5802146,0,2026-08-25T09:15+05:30,2026-08-25T15:30+05:30,2026-08-26T09:15+05:30,2026-08-26T15:30+05:30
EASTINDIA,East India Drums & Barrels Mfg Ltd,ISIN-UNKNOWN,BSE,,95,95,0.05,1,2907200,290720,0,2026-08-25T09:15+05:30,2026-08-25T15:30+05:30,2026-08-26T09:15+05:30,2026-08-26T15:30+05:30
